Parameters,Description,Default or ExampleValues,Required
mon_metrics_writer_option,Provide the monitoring metrics option.,4,No
,,,
,Specify 0 for Graphite and 4 for Prometheus.,,
mon_enable_plugin_pch,Performance metrics for FileNet® Content Manager components.,FALSE,No
mon_enable_plugin_mbean,Performance metrics for JMX.,FALSE,No
collectd_plugin_write-graphite_host,The hostname for the Graphite service.,localhost,No
collectd_plugin_write_graphite_port,The port for the Graphite service.,2003,No
collectd_interval,"The interval seconds in which to query the read plugins. If set, will use the specified interval for collectd and plugins.",10,No
collectd_disable_host_monitoring,"If set to true, disables the collectd cpu, interface, load, memory, and prometheus plugins.",FALSE,No
collectd_plugin_write_prometheus_port,The port of the collectd embedded webserver should listen on that can be scraped by using Prometheus.,9103,No
